2016-09-27 17:51:53.0692 | DEBUG | XBee.XBeeChecksum | Computed checksum is 0x65
2016-09-27 17:51:53.1022 | DEBUG | XBee.SerialConnection | Sending data: [0x7E 0x00 0x04 0x08 0x01 0x41 0x50 0x65]
2016-09-27 17:51:53.1333 | DEBUG | XBee.SerialConnection | Receiving data: [0x7E 0x00 0x06 0x88 0x01 0x41 0x50 0x00 0x01 0xE4]
2016-09-27 17:51:53.1683 | DEBUG | XBee.XBeeChecksum | Computed checksum is 0x00
2016-09-27 17:51:53.1683 | DEBUG | XBee.XBeeChecksum | Verify checksum is 0x00
2016-09-27 17:51:53.1823 | DEBUG | XBee.XBee | XBee.Frames.ATCommandResponse
2016-09-27 17:51:53.1823 | DEBUG | XBee.XBeeChecksum | Computed checksum is 0x6F
2016-09-27 17:51:53.1823 | DEBUG | XBee.SerialConnection | Sending data: [0x7E 0x00 0x04 0x08 0x02 0x42 0x44 0x6F]
2016-09-27 17:51:53.2093 | DEBUG | XBee.SerialConnection | Receiving data: [0x7E 0x00]
2016-09-27 17:51:53.2133 | DEBUG | XBee.SerialConnection | Receiving data: [0x09 0x88 0x02 0x42 0x44 0x00 0x00 0x00 0x00 0x03 0xEC]
2016-09-27 17:51:53.2133 | DEBUG | XBee.XBeeChecksum | Computed checksum is 0x00
2016-09-27 17:51:53.2133 | DEBUG | XBee.XBeeChecksum | Verify checksum is 0x00
2016-09-27 17:51:53.2133 | DEBUG | XBee.XBee | XBee.Frames.ATCommandResponse
2016-09-27 17:51:53.2263 | DEBUG | XBee.XBeeChecksum | Computed checksum is 0x56
2016-09-27 17:51:53.2263 | DEBUG | XBee.SerialConnection | Sending data: [0x7E 0x00 0x04 0x08 0x03 0x4E 0x50 0x56]
2016-09-27 17:51:53.2544 | DEBUG | XBee.SerialConnection | Receiving data: [0x7E 0x00 0x07 0x88 0x03 0x4E 0x50 0x00 0x01 0x00 0xD5]
2016-09-27 17:51:53.2544 | DEBUG | XBee.XBeeChecksum | Computed checksum is 0x00
2016-09-27 17:51:53.2584 | DEBUG | XBee.XBeeChecksum | Verify checksum is 0x00
2016-09-27 17:51:53.2584 | DEBUG | XBee.XBee | XBee.Frames.ATCommandResponse
2016-09-27 17:51:53.2584 | DEBUG | XBee.XBeeChecksum | Computed checksum is 0x4B
2016-09-27 17:51:53.2584 | DEBUG | XBee.SerialConnection | Sending data: [0x7E 0x00 0x04 0x08 0x04 0x56 0x52 0x4B]
2016-09-27 17:51:53.2864 | DEBUG | XBee.SerialConnection | Receiving data: [0x7E 0x00 0x07 0x88 0x04 0x56 0x52 0x00 0x80 0x74 0xD7]
2016-09-27 17:51:53.2864 | DEBUG | XBee.XBeeChecksum | Computed checksum is 0x00
2016-09-27 17:51:53.2864 | DEBUG | XBee.XBeeChecksum | Verify checksum is 0x00
2016-09-27 17:51:53.2914 | DEBUG | XBee.XBee | XBee.Frames.ATCommandResponse
2016-09-27 17:51:53.2914 | DEBUG | XBee.XBeeChecksum | Computed checksum is 0x60
2016-09-27 17:51:53.2914 | DEBUG | XBee.SerialConnection | Sending data: [0x7E 0x00 0x04 0x08 0x05 0x4E 0x44 0x60]
2016-09-27 17:51:57.2827 | DEBUG | XBee.SerialConnection | Receiving data: [0x7E 0x00 0x19 0x88 0x05 0x4E]
